City Name,City Name (in Ukrainian),Subdivision,City status,Population (2001 Census)
Seredyna-Buda,????????-????,Sumy Oblast,R,"7,511"
Zboriv,??????,Ternopil Oblast,R,"7,436"
Khorostkiv,?????????,Ternopil Oblast,R,"7,306"
Oster,?????,Chernihiv Oblast,R,"7,194"
Sharhorod,????????,Vinnytsia Oblast,R,"7,161"
Perechyn,???????,Zakarpattia Oblast,R,"7,083"
Oleksandrivsk,??????????????,Luhansk Oblast,R,"7,045"
Kopychyntsi,?????????,Ternopil Oblast,R,"7,036"
Skole,?????,Lviv Oblast,R,"6,742"
Artemove,????????,Donetsk Oblast,R,"6,725"
Sudova Vyshnia,?????? ?????,Lviv Oblast,R,"6,668"
Halych,?????,Ivano-Frankivsk Oblast,R,"6,495"
Morshyn,??????,Lviv Oblast,O,"6,482"
Monastyryska,?????????????,Ternopil Oblast,R,"6,344"
Miusynsk,?????????,Luhansk Oblast,R,"6,029"
Vashkivtsi,????????,Chernivtsi Oblast,R,"5,987"
Velyki Mosty,?????? ?????,Lviv Oblast,R,"5,925"
Druzhba,??????,Sumy Oblast,R,"5,726"
Staryi Sambir,?????? ??????,Lviv Oblast,R,"5,706"
Shumsk,??????,Ternopil Oblast,R,"5,161"
Sviatohirsk,???????????,Donetsk Oblast,R,"5,136"
Almazna,???????,Luhansk Oblast,R,"5,061"
Vyzhnytsia,???????,Chernivtsi Oblast,R,"5,021"
Maydanets,????????,Cherkasy Oblast,R,"5,005"
Dobromyl,?????????,Lviv Oblast,R,"4,976"
Rudky,?????,Lviv Oblast,R,"4,942"
Khyriv,?????,Lviv Oblast,R,"4,590"
Skalat,??????,Ternopil Oblast,R,"4,036"
Komarno,???????,Lviv Oblast,R,"3,994"
Bibrka,??????,Lviv Oblast,R,"3,980"
Novyi Kalyniv,????? ???????,Lviv Oblast,R,"3,582"
Hlyniany,???????,Lviv Oblast,R,"3,378"
Pidhaitsi,????????,Ternopil Oblast,R,"3,280"
Baturyn,???????,Chernihiv Oblast,R,"3,078"
Belz,????,Lviv Oblast,R,"2,478"
Ustyluh,???????,Volyn Oblast,R,"2,283"
Hertsa,?????,Chernivtsi Oblast,R,"2,068"
Berestechko,??????????,Volyn Oblast,R,"1,904"
Uhniv,?????,Lviv Oblast,R,"1,021"
Chernobyl,?????????,Kiev Oblast,R,500
Prypiat,????'???,Kiev Oblast,O,0
,,,,
For other more formats kindly visit : www.downloadexcelfiles.com,,,,
,,,,
Original source : en.wikipedia.org/wiki/List_of_cities_in_Ukraine,,,,
